city,row_num,title,epg_id
Волгоград,38,Sony Sci Fi,epg38
Волгоград,39,SET,epg44
Волгоград,40,Eurosport 1,epg50
Волгоград,41,Russian Extreme TV,epg52
Волгоград,42,RU.TV,epg48
Волгоград,43,Ля-Минор,epg97
Волгоград,44,Шалун HD,epg655
Волгоград,45,Cinéma,epg664
Волгоград,46,Союз,epg69
Волгоград,47,История,epg303
Волгоград,48,Домашние животные,epg57
Волгоград,49,Вопросы и ответы,epg58
Волгоград,50,Психология 21,epg59
Волгоград,51,Нано ТВ,epg67
Волгоград,52,Промо-МТС,epg387
Волгоград,53,РБК ТВ,epg63
Волгоград,54,Вместе-РФ,epg507
Волгоград,55,Мир,epg71
Волгоград,56,Мир 24,epg389
Волгоград,57,2 ТВ,epg553
Волгоград,58,ТНВ,epg251
Волгоград,59,Еда,epg253
Волгоград,60,Телекафе,epg56
Волгоград,61,АМС,epg74
Волгоград,62,Discovery ID Xtra HD,epg539
Волгоград,63,Первый HD,epg268
Волгоград,64,Кино ТВ,epg504
Волгоград,65,TV 1000 Action,epg94
Волгоград,66,TLC,epg61
Волгоград,67,Спас,epg391
Волгоград,68,Shopping live,epg23
Волгоград,69,Россия 1 HD,epg388
Волгоград,70,ТНТ4,epg622
Волгоград,71,Eurosport 1 HD,epg308
Волгоград,72,Fox HD,epg316
Волгоград,73,Матч! Арена HD,epg628
Волгоград,74,Tiji,epg109
Волгоград,75,Шалун SD,epg654
Волгоград,76,Ретро,epg39
Волгоград,77,National Geographic HD,epg319
Волгоград,78,Food Network,epg589
Волгоград,79,Ностальгия,epg325
Волгоград,80,Eurosport 2,epg107
Волгоград,81,National Geographic Wild HD,epg320
Волгоград,82,СТС Love,epg512
Волгоград,83,МТС-ИНФО,epg114
Волгоград,84,Gulli Girl,epg76
Волгоград,85,Детский,epg79
Волгоград,86,Discovery Channel HD,epg509
Волгоград,87,TV1000 Comedy HD,epg377
Волгоград,88,Канал Disney,epg12
Волгоград,89,Boomerang,epg374
Волгоград,90,Eurosport 2 HD,epg383
Волгоград,91,Discovery Science,epg81
Волгоград,92,КХЛ HD,epg382
Волгоград,93,History,epg503
Волгоград,94,Life,epg273
Волгоград,95,Бобёр,epg603
Волгоград,96,Fox Life HD,epg315
Волгоград,97,Mezzo Live HD,epg329
Волгоград,98,Viasat History,epg87
Волгоград,99,Life HD,epg480
Волгоград,100,Матч! Арена,epg627
Волгоград,101,Extreme Sports,epg106
Волгоград,102,Discovery Science HD,epg523
Волгоград,103,AMEDIA HIT HD,epg585
Волгоград,104,A1,epg265
Волгоград,105,AMEDIA HIT SD,epg575
Волгоград,106,AMEDIA Premium HD,epg267
Волгоград,107,Fox Life,epg86
Волгоград,108,Viasat History HD/Viasat Nature HD,epg378
Волгоград,109,TV1000 Megahit HD,epg376
Волгоград,110,Travel+Adventure SD,epg274
Волгоград,111,Travel+Adventure HD,epg275
Волгоград,112,8 канал,epg522
Волгоград,113,AMEDIA Premium SD,epg277
Волгоград,114,A1 HD,epg598
Волгоград,115,History HD,epg599
Волгоград,116,Музыка первого,epg95
Волгоград,117,Europa Plus TV,epg96
Волгоград,118,Food Network HD,epg541
Волгоград,119,Fox,epg75
Волгоград,120,MGM HD,epg327
Волгоград,121,КХЛ,epg105
Волгоград,122,Муниципальное ТВ,epg419
Волгоград,123,Candy TV HD,epg385
Волгоград,124,Русский иллюзион,epg40
Волгоград,125,Настоящее Страшное Телевидение,epg352
Волгоград,126,Наш футбол,epg313
Волгоград,127,Наш футбол HD,epg272
Волгоград,128,Иллюзион +,epg41
Волгоград,129,Русская ночь,epg331
Волгоград,130,A2,epg317
Волгоград,131,French Lover TV,epg318
Волгоград,132,Brazzers TV,epg500
Волгоград,133,CANDYMAN,epg511
Волгоград,134,Fashion One HD,epg330
Волгоград,135,Viasat Golf HD,epg594
Волгоград,136,Русский роман,epg307
Волгоград,137,TV1000 Premium HD,epg375
Волгоград,138,Viasat Sport,epg593
Волгоград,139,Travel Channel HD,epg328
Волгоград,140,Zee TV,epg93
Волгоград,141,Travel Channel,epg302
Волгоград,142,ЖИВИ!,epg108
Волгоград,143,МУЗ-ТВ,epg380
Волгоград,144,TLC HD,epg516
Волгоград,145,NuArt.TV,epg271
Волгоград,146,Эгоист ТВ,epg296
Волгоград,147,Animal Planet HD,epg306
Волгоград,148,Волгоград 24,epg613
Волгоград,149,Матч! Футбол 1,epg340
Волгоград,150,Матч! Футбол 2,epg571
Волгоград,151,Матч! Футбол 3,epg577
Волгоград,152,Матч! Футбол 1 HD,epg616
Волгоград,153,Матч! Футбол 2 HD,epg617
Волгоград,154,Матч! Футбол 3 HD,epg618
Волгоград,155,Deutsche Welle,epg65
Волгоград,156,France 24,epg298
Волгоград,157,CNN,epg290
Волгоград,158,BBC World News,epg293
Волгоград,159,Евроновости,epg353
Волгоград,160,Матч! Боец,epg103
Волгоград,161,ТНТ Music,epg638
Волгоград,162,Viasat Explore,epg85
Волгоград,163,КИНОКОМЕДИЯ,epg112
Волгоград,164,Viasat Nature,epg84
Волгоград,165,H2,epg640
Волгоград,166,Game Show,epg642
Волгоград,167,CBS Reality,epg366
Волгоград,168,Морской,epg568
Волгоград,169,Ювелирочка,epg653
Волгоград,170,Russian Extreme TV Ultra HD (тест),epg665
