"harm","ampl","angle","submarker","source_harm","round_harm","marker"
1.01859163578813,138.837231888158,0.69,"0",64,1,"0 - 3"
2.02126777726707,141.994178348768,0.69,"3",127,2,"0 - 3"
0.0159154943091895,9.21928985798568,0.71,"1",1,0,"0 - 3"
1.01859163578813,141.052414943794,0.71,"0",64,1,"0 - 3"
2.02126777726707,142.04872199596,0.71,"3",127,2,"0 - 3"
1.01859163578813,143.059071635087,0.73,"0",64,1,"0 - 3"
2.02126777726707,142.317241179196,0.73,"3",127,2,"0 - 3"
1.01859163578813,144.830230909687,0.75,"0",64,1,"0 - 3"
2.02126777726707,142.791015281602,0.75,"3",127,2,"0 - 3"
1.01859163578813,146.334501857085,0.77,"0",64,1,"0 - 3"
2.02126777726707,143.453691555902,0.77,"3",127,2,"0 - 3"
1.01859163578813,147.536723036349,0.79,"0",64,1,"0 - 3"
2.02126777726707,144.281392647253,0.79,"3",127,2,"0 - 3"
1.01859163578813,148.39946949908,0.81,"0",64,1,"0 - 3"
2.02126777726707,145.242965961982,0.81,"3",127,2,"0 - 3"
1.01859163578813,148.885257420982,0.83,"0",64,1,"0 - 3"
2.02126777726707,146.300522312835,0.83,"3",127,2,"0 - 3"
0.0159154943091895,9.43330740055456,0.85,"1",1,0,"0 - 3"
1.01859163578813,148.958993753544,0.85,"0",64,1,"0 - 3"
2.02126777726707,147.410590220046,0.85,"3",127,2,"0 - 3"
0.0159154943091895,12.1693721148976,0.87,"1",1,0,"0 - 3"
1.01859163578813,148.589994601986,0.87,"0",64,1,"0 - 3"
2.02126777726707,148.526328533029,0.87,"3",127,2,"0 - 3"
0.0159154943091895,14.9237295516169,0.89,"1",1,0,"0 - 3"
1.01859163578813,147.752902336318,0.89,"0",64,1,"0 - 3"
2.02126777726707,149.601452140208,0.89,"3",127,2,"0 - 3"
0.0159154943091895,17.689050520471,0.91,"1",1,0,"0 - 3"
1.01859163578813,146.427197476453,0.91,"0",64,1,"0 - 3"
2.02126777726707,150.596792955646,0.91,"3",127,2,"0 - 3"
0.0159154943091895,20.4490340396815,0.93,"1",1,0,"0 - 3"
1.01859163578813,144.595769593888,0.93,"0",64,1,"0 - 3"
2.02126777726707,151.490231646027,0.93,"3",127,2,"0 - 3"
0.0159154943091895,23.1760737254495,0.95,"1",1,0,"0 - 3"
1.01859163578813,142.244084894296,0.95,"0",64,1,"0 - 3"
2.02126777726707,152.28922163279,0.95,"3",127,2,"0 - 3"
0.0159154943091895,25.8324723270169,0.97,"1",1,0,"0 - 3"
1.01859163578813,139.362530946968,0.97,"0",64,1,"0 - 3"
2.02126777726707,153.041834904677,0.97,"3",127,2,"0 - 3"
0.0159154943091895,28.377634452994,0.99,"1",1,0,"0 - 3"
1.01859163578813,135.954758980553,0.99,"0",64,1,"0 - 3"
2.02126777726707,153.838434506537,0.99,"3",127,2,"0 - 3"
0.0159154943091895,30.7812410880988,1.01,"1",1,0,"0 - 3"
1.01859163578813,132.052987670941,1.01,"0",64,1,"0 - 3"
2.02126777726707,154.795282189709,1.01,"3",127,2,"0 - 3"
0.0159154943091895,33.0376889983463,1.03,"1",1,0,"0 - 3"
1.01859163578813,127.736262121273,1.03,"0",64,1,"0 - 3"
2.02126777726707,156.017780933991,1.03,"3",127,2,"0 - 3"
0.0159154943091895,35.1729500773585,1.05,"1",1,0,"0 - 3"
1.01859163578813,123.141048534299,1.05,"0",64,1,"0 - 3"
2.02126777726707,157.554859822132,1.05,"3",127,2,"0 - 3"
0.0159154943091895,37.2361162917847,1.07,"1",1,0,"0 - 3"
1.01859163578813,118.45085095629,1.07,"0",64,1,"0 - 3"
2.02126777726707,159.369164354501,1.07,"3",127,2,"0 - 3"
0.0159154943091895,39.276239953827,1.09,"1",1,0,"0 - 3"
1.01859163578813,113.858962854229,1.09,"0",64,1,"0 - 3"
2.02126777726707,161.346313587175,1.09,"3",127,2,"0 - 3"
0.0159154943091895,41.3159336331909,1.11,"1",1,0,"0 - 3"
1.01859163578813,109.514616734609,1.11,"0",64,1,"0 - 3"
2.02126777726707,163.344017641706,1.11,"3",127,2,"0 - 3"
0.0159154943091895,43.3373310366302,1.13,"1",1,0,"0 - 3"
1.01859163578813,105.476075052385,1.13,"0",64,1,"0 - 3"
2.02126777726707,165.252438806143,1.13,"3",127,2,"0 - 3"
0.0159154943091895,45.2884271412586,1.15,"1",1,0,"0 - 3"
