"timestamp","delta_time","bandwidth_in","bandwidth_out"
"12/04/2015 23:58:19",3549,1.15488803,0.18253537
"13/04/2015 00:59:31",3672,0.72566044,0.13431871
"13/04/2015 01:59:43",3612,0.84076089,0.09125996
"13/04/2015 02:59:43",3600,0.20009084,0.06387345
"13/04/2015 03:59:52",3609,0.15572795,0.06393655
"13/04/2015 04:59:58",3606,0.14748909,0.06751949
"13/04/2015 05:59:55",3597,0.13018282,0.06183688
"13/04/2015 06:59:04",3549,1.29228556,0.08069980
"13/04/2015 07:59:09",3605,1.78419077,0.12380402
"13/04/2015 08:58:13",3544,12.00860405,0.58704096
"13/04/2015 09:59:15",3662,10.82093525,1.39515662
"13/04/2015 10:59:29",3614,25.95309448,2.09344363
"13/04/2015 11:59:30",3601,21.75337982,3.22218609
"13/04/2015 12:59:17",3587,20.62343025,2.16590834
"13/04/2015 13:59:32",3615,24.61653137,1.69864917
"13/04/2015 14:59:25",3593,28.24706268,2.40795088
"13/04/2015 15:59:33",3608,33.38723755,2.38802481
"13/04/2015 16:59:33",3600,16.44886971,1.51444256
"13/04/2015 17:59:36",3603,29.16953087,2.39861441
"13/04/2015 18:59:38",3602,15.87849712,1.41031122
"13/04/2015 19:59:34",3596,10.67533875,1.15271652
"13/04/2015 20:59:42",3608,6.10627270,1.15019047
"13/04/2015 21:59:36",3594,3.59866762,0.42982727
"13/04/2015 22:59:26",3590,2.83563519,0.18801124
"13/04/2015 23:59:19",3593,0.45937365,0.12651570
"14/04/2015 00:59:26",3607,0.52076179,0.12767044
"14/04/2015 01:59:30",3604,3.34245539,0.17231527
"14/04/2015 02:59:25",3595,0.20556146,0.09188069
"14/04/2015 03:59:32",3607,0.22773919,0.09722407
"14/04/2015 04:59:38",3606,0.44029400,0.09964988
"14/04/2015 05:59:31",3593,0.28820065,0.09528872
"14/04/2015 06:59:35",3604,1.66019285,0.14635287
"14/04/2015 07:59:41",3606,3.24201083,0.28847098
"14/04/2015 08:59:34",3593,9.65939999,0.66295236
"14/04/2015 09:59:36",3602,15.98692989,1.29622364
"14/04/2015 10:59:31",3595,31.28659248,2.30253768
"14/04/2015 11:59:30",3599,29.11384201,2.07888317
"14/04/2015 12:59:36",3606,26.78508949,2.13009715
"14/04/2015 13:58:37",3541,32.87394714,2.27173567
"14/04/2015 14:59:26",3649,26.74221992,1.91296780
"14/04/2015 15:59:39",3613,28.10348511,1.78950644
"14/04/2015 16:59:20",3581,20.74900818,1.54843664
"14/04/2015 17:58:27",3547,23.24438858,1.37165761
"14/04/2015 18:59:20",3653,31.62267876,1.53276742
"14/04/2015 19:59:29",3609,20.39056396,0.98535073
"14/04/2015 20:58:33",3544,5.67987919,0.69254297
"14/04/2015 21:59:25",3652,5.43435860,0.28281242
"14/04/2015 22:59:36",3611,5.89922428,0.32640502
"14/04/2015 23:58:42",3546,10.05853081,0.30931500
"15/04/2015 00:59:38",3656,6.13590145,0.26655090
"15/04/2015 01:59:46",3608,2.02417231,0.13586605
"15/04/2015 02:58:52",3546,1.35951948,0.11740351
"15/04/2015 03:59:46",3654,0.90530992,0.09720062
"15/04/2015 04:59:54",3608,1.26477754,0.09741680
"15/04/2015 05:58:59",3545,1.12357533,0.08505345
"15/04/2015 06:59:52",3653,1.72514486,0.10180909
"15/04/2015 07:58:59",3547,6.87778139,0.22609296
"15/04/2015 08:59:04",3605,8.99663353,0.43457821
"15/04/2015 09:59:53",3649,26.45972061,1.42527997
"15/04/2015 10:59:55",3602,26.29908371,1.81244469
"15/04/2015 11:58:51",3536,26.96342659,2.59276795
"15/04/2015 12:59:31",3640,40.06005478,4.27668333
"15/04/2015 13:59:15",3584,37.31778717,2.12901258
"15/04/2015 14:59:50",3635,19.55489159,2.06029129
"15/04/2015 15:59:21",3571,25.81365585,1.82702017
"15/04/2015 16:59:42",3621,32.99981308,2.92691040
"15/04/2015 17:59:29",3587,22.71330070,1.78110576
"15/04/2015 18:59:45",3616,11.81308746,1.13967693
"15/04/2015 19:59:26",3581,7.51808167,0.46003535
"15/04/2015 20:59:29",3603,3.96496868,0.23963645
"15/04/2015 21:59:39",3610,4.71285725,0.24358776
"15/04/2015 22:59:36",3597,3.38608813,0.25995138
"15/04/2015 23:59:46",3610,5.06725502,0.20639302
"16/04/2015 00:59:54",3608,0.37029088,0.10661080
"16/04/2015 01:59:52",3598,0.54826784,0.10057186
"16/04/2015 02:59:02",3550,0.33609328,0.07900308
"16/04/2015 03:59:11",3609,0.18898574,0.07681906
"16/04/2015 04:58:17",3546,0.13139497,0.06766088
"16/04/2015 05:59:12",3655,2.16254067,0.10914061
"16/04/2015 06:59:16",3604,2.12426233,0.10147204
"16/04/2015 07:59:24",3608,0.67686868,0.08874217
"16/04/2015 08:59:15",3591,7.77711582,0.47884649
"16/04/2015 09:59:43",3628,18.95684433,1.29471529
"16/04/2015 10:59:06",3563,29.37628937,1.94007397
"16/04/2015 11:59:57",3651,31.66040039,2.28365612
"16/04/2015 12:59:06",3549,44.94539261,2.16669512
"16/04/2015 13:59:58",3652,44.32407761,2.24181747
"16/04/2015 14:59:37",3579,49.62252808,2.43497634
"16/04/2015 15:59:03",3566,41.83229065,2.35781193
"16/04/2015 16:59:34",3631,29.22143555,1.76899374
"16/04/2015 17:59:19",3585,30.56068611,1.68862832
"16/04/2015 18:59:06",3587,34.54248810,1.68424284
"16/04/2015 19:59:40",3634,6.59782362,0.63898557
"16/04/2015 20:59:19",3579,2.98000717,1.32342434
"16/04/2015 21:59:35",3616,1.91377652,0.40621027
"16/04/2015 22:59:45",3610,1.90111029,0.16086942
"16/04/2015 23:58:50",3545,0.72503060,0.12335026
